Short/Long,Default Value,Type,Summary
-ifd/--inFilesDirs,Na,``String``,"Infile directory(s), comma sep (Mandatory: Supply whole path,)"
-isd/--inScriptDir,Na,``String``,The pipeline custom script in directory (Mandatory: Supply whole path)
-rd/--referencesDir,Na,``String``,Reference(s) directory (Mandatory: Supply whole path)
-p/--projectID,Na,``String``,The project ID;Also used to allocate core hours in SLURM (Mandatory)
-s/--sampleIDs,Na,``String``,"The sample ID(s),comma sep (Mandatory)"
-em/--email,Na,``String``,Send E-mail from SLURM
-odd/--outDataDir,Na,``String``,The data files output directory (Mandatory: Supply whole path)
-osd/--outScriptDir,Na,``String``,The script files (.sh) output directory (Mandatory: Supply whole path)
-f/--familyID,Na,``String``,Group id of samples to be compared (Ex: 1 for IDN 1-1-1A)
-pedigree/--pedigreeFile,Na,``String``,Pedigree file in PLINK format (Supply whole path)
-huref/--humanGenomeReference,Na,``String``,Fasta file for the human genome reference
-al/--aligner,Na,``String``,Setting which aligner was used for alignment in previous analysis
-at/--analysisType,exomes,``String``,"Type of analysis to perform (Valid entries: ""genomes"", ""exomes"", ""rapid"")"
-mc/--maximumCores,8,``Integer``,The maximum number of cores per node used in the analysis
