Short/Long,Default Value,Type,Summary
-ifd/--inFilesDirs,Na,``String``,"Infile directory(s), comma sep (Mandatory: Supply whole path,)"
-isd/--inScriptDir,Na,``String``,The pipeline custom script in directory (Mandatory: Supply whole path)
-rd/--referencesDir,Na,``String``,Reference(s) directory (Mandatory: Supply whole path)
-p/--projectID,Na,``String``,The project ID;Also used to allocate core hours in SLURM (Mandatory)
-s/--sampleIDs,Na,``String``,"The sample ID(s),comma sep (Mandatory)"
-em/--email,Na,``String``,Send E-mail from SLURM
-odd/--outDataDir,Na,``String``,The data files output directory (Mandatory: Supply whole path)
-osd/--outScriptDir,Na,``String``,The script files (.sh) output directory (Mandatory: Supply whole path)
-f/--familyID,Na,``String``,Group id of samples to be compared (Ex: 1 for IDN 1-1-1A)
-pedigree/--pedigreeFile,Na,``String``,Pedigree file in PLINK format (Supply whole path)
-huref/--humanGenomeReference,Na,``String``,Fasta file for the human genome reference (@ -rd)
-al/--aligner,mosaik,``String``,Setting which aligner was used for alignment in previous analysis
-at/--analysisType,exomes,``String``,"Type of analysis to perform (Valid entries: ""genomes"", ""exomes"", ""rapid"")"
-mc/--maximumCores,8,``Integer``,The maximum number of cores per node used in the analysis
-env_up/--environmentUppmax,0,``Integer``,Sets the environment to UPPMAX and sets UPPMAX defaults
-c/--configFile,Na,``String``,YAML config file for script parameters
-wc/--writeConfigFile,Na,``String``,Write YAML configuration file for script parameters (Supply whole path)
-dra/--dryRunAll,0,``Integer``,Sets all programs to dry run mode i.e. no sbatch submission
-h/--help,Na,Na,Display help message
-v/--version,Na,Na,Display version of MIP
-pGZ/--pGZip,1,``Integer``,GZip fastq files
-pFQC/--pFastQC,1,``Integer``,Sequence quality analysis using FastQC
-pREM/--pRemovalRedundantFiles,1,``Integer``,Generating sbatch script for deletion of redundant files;Note: Must be submitted manually)
-pMoB/--pMosaikBuild,1,``Integer``,Convert reads to Mosaik format using MosaikBuild
-mobmfl/--mosaikBuildMedianFragLength,375,``Integer``,"Flag for setting the mean fragment length, mfl, (nt)"
-pMoA/--pMosaikAlign,1,``Integer``,Align reads using MosaikAlign
-moaref/--mosaikAlignReference,Na,``String``,MosaikAlign reference (@ -rd)
-moaannpe/--mosaikAlignNeuralNetworkPeFile,Na,``String``,MosaikAlign Neural Network PE File (@ -rd)
-moaannse/--mosaikAlignNeuralNetworkSeFile,Na,``String``,MosaikAlign Neural Network SE File (@ -rd)
-mojdb/--mosaikJumpDbStub,Na,``String``,MosaikJump stub (@ -rd)
-pBWA_mem/--pBwaMem,0,``Integer``,Align reads using BWA Mem
-bwamemrdb/--bwaMemRapidDb,Na,``String``,Selection of relevant regions post alignment
-pBWA_aln/--pBwaAln,0,``Integer``,Index reads using BWA Aln
-bwaalnq/--bwaAlnQualityTrimming,20,``Integer``,BWA Aln quality threshold for read trimming
-pBWA_sampe/--pBwaSampe,0,``Integer``,Align reads using BWA Sampe
