Column name,Type,Value,Description
Chromosome,``String``,"[chr1-chr22, chrX, chrY] or [1-22, X, Y]",Self-explanatory
Variant Start,``Integer``,Positive Integer,Self-explanatory
Variant Stop,``Integer``,Positive Integer,Self-explanatory
Reference Allele,``String``,"[-,A,C,G,T]",Self-explanatory
Alternative Allele,``String``,"[-,A,C,G,T]+",Self-explanatory
Ensembl Gene Id,``String``,ENSGNNNNNNNNN:ENSGNNNNNNNNN ':'-separated,String with the ID:s for the Ensembl genes that the variant is present in.
HGNC Symbol,``String``,<Gene Name> ':'-separated,String with the `HGNC`_ gene name(s).
HGNC Approved Name,``String``,"<Descriptive string> ','-separated",String with the gene description from `HGNC`_.
HGNC Synonyms,``String``,<Descriptive string> ':'-separated,Other symbols used to refer to this gene.
OMIM Gene Descriptions,``String``,<Descriptive string> ':'-separated,Short description from the `OMIM`_ (Online Mendelian Inheritance In Man) database.
OMIM Morbid Descriptions,``String``,<Descriptive string> ':'-separated,Keywords for search in the `OMIM`_ morbid map.
OMIM Morbid Descriptions,``String``,<Descriptive string> ':'-separated,Information from the `HGMD`_ database.
Gene Annotation,``String``,<Descriptive string> ';'-separated,"['exonic', 'exonic;splicing', 'splicing', 'intronic', 'UTR3', 'UTR5', 'UTR5;UTR3', 'upstream', 'downstream', 'upstream;downstream'] Explains where in the gene the variant is located."
Functional Annotation,``String``,<Descriptive string>,"['frameshift deletion','frameshift insertion','nonframeshift deletion', 'nonframeshift insertion','stopgain SNV','stoploss SNV','nonsynonymous SNV'] Explains the effect of the variant"
HGNC Transcript Info,``String``,<Descriptive string> ':'-separated,Accurate description of variant location.
Phast Cons Elements,``String``,Score=NNN;Name=lod=NN OR '-' ':'-separated,Data of conserved regions of 64 species.
GERP Elements,``String``,Name=NNN.N,`GERP`_: Genomic Evolutionary Rate Profiling
Genomic Super Dups,``String``,Score=0.NNNN; Name=chrN:NNNNN,`SuperDups`_: Segmental Duplications
Pseudogene,``String``,<Descriptive string> ';'-separated,"[processed_pseudogene, deleted, unprocessed_pseudogene, IG_V_pseudogene, TR_V_pseudogene, transcribed_processed_pseudogene, unitary_pseudogene]"
1000G,``Float``,<Float> OR -,Frequency in the `1000G`_ database
Dbsnp129,``Float``,<Float> OR -,"Frequency in the `dbsnp`_ database, version 129. This version is considered to have smallest amount of false positives."
Dbsnp Frequency,``Float``,<Float> OR -,"Frequency in the `dbsnp`_ database, Version specified in the header."
Dbsnp nonflagged,``String``,'snp137NonFlagged' OR -,If the variant has a clinical flag in the `dbsnp`_ database.
Dbsnp_rs_nr,``String``,<dbsnp_rs_nr> OR -,The variant id if it exists in the latest version of the `dbsnp`_ database.
Esp6500,``Float``,<Float> OR -,"Frequency in the `Esp6500`_ database. This is a database with exome data for thousands of individuals with heart, lung and blood disorders."
HBVDB,``Float``,<Float>,Local variation database.
SIFT,``Float``,"<Float, 0-1 > OR -",`SIFT`_ predicts whether an amino acid substitution affects protein function The closer to 0 the more effect on the protein.
PolyPhen,``Float``,"<Float, 0-1 > OR -",`PolyPhen 2`_ predicts whether an amino acid substitution affects protein structure and function. The closer to 1 the more effect on the protein.
MutationTaster,``Float``,"<Float, 0-1 > OR -",MutationTaster predicts whether an amino acid substitution affects protein function. The closer to 1 the more effect on the protein.
GERP,``Float``,"<Float, -inf<x<inf> OR -",`GERP`_ identifies constrained elements in multiple alignments by quantifying substitution deficits.
LRT,``Float``,"<Float, 0-1> OR -",`LRT`_ Using a comparative genomics data set of 32 vertebrate species we show that a likelihood ratio test (LRT) can accurately identify a subset of deleterious mutations that disrupt highly conserved amino acids within protein-coding sequences.
PhyloP,``Float``,"<Float, 0-1 > OR -",`Phylop`_ is another score for conservation.
HPA Main Location,``String``,':'-separated string,`HPA`_ gives information of where the protein is most abundant
HPA Other Location,``String``,':'-separated string,Information where the proein is also found.
HPA Expression Type,``String``,';'-separated string,Information of the kind of expression.
HPA Reliability,``String``,"':'-separated string [Very low, Low, Medium, ...]",Estimation of the `HPA`_ prediction
Gwas Catalog,``String``,Name=<Phenotype> OR -,"Describes associated phenotype from the gwas catalog, if existing."
Transfac,``String``,Score=<INT>;Name=<Str> OR -,Description from the `Transfac`_ (Transcription Factor Binding Sites) database.
snoRNA & miRNA Annotations,``String``,Name=<Str> OR -,Annotation for RNA:s
GT Call Filter,``String``,"[PASS,PRES]",Information of the filter from the genotype call process.
IDN 52-1-4A,``String``,':'-separated string,Information of the genotype call.
Inheritance Model,``String``,':'-separated string,Variant Inheritance Pattern
Rank Score,``Integer``,Positive Integer,Rank score according to patogenic potential
