ColumnName,Type,Summary
CMMSID,``String``,The clinics identification number for the individual
Tissue_origin,``String``,Tissue of Isolation (DNA/RNA)
Isolation_kit,``String``,Kit used to isolate nucleic acids
Isolation_date,``Integer``,Date of performing isolation of nucleic acids
Isolation_personnel,``String``,Personnel performing isolation of nucleic acids
Medical_Doctor,``String``,Responsible clinician(s)
Inheritance_model,``String``,Probable disease genetic model inheritance within pedigree
Phenotype_terms,``String``,Phenotypic terms associated with the disorder
CMMS_SeqID,``String``,Batch identification
SciLifeID,``String``,ScilifeLab identification 
Capture_kit,``String``,Capture kit used in library preparation
Capture_date,``Integer``,Date of performing capture procedure
Capture_personnel,``String``,Personnel performing capture procedure
Clustering_date,``Integer``,Date of clustering
Sequencing_kit,``String``,Sequencing kit
Clinical_Db,``String``,Clinical database(s) to be used in the MPS analysis 
